"","iteration","beta0","beta1","beta2","beta3","beta4.1.","beta4.2.","beta4.3.","beta4.4.","beta4.5.","beta4.6.","beta4.7.","beta4.8.","beta4.9.","beta4.10.","beta4.11.","beta4.12.","beta4.13.","beta4.14.","beta4.15.","beta4.16.","beta4.17.","beta4.18.","beta4.19.","beta4.20.","beta4.21.","beta4.22.","beta4.23.","beta4.24.","beta4.25.","beta4.26.","beta4.27.","beta4.28.","beta4.29.","beta4.30.","beta4.31.","beta5.1.","beta5.2.","beta5.3.","beta5.4.","beta5.5.","beta5.6.","beta5.7.","beta5.8.","beta5.9.","beta5.10.","beta5.11.","beta5.12.","beta5.13.","beta5.14.","beta5.15.","beta5.16.","beta5.17.","beta5.18.","beta5.19.","beta5.20.","beta5.21.","beta5.22.","beta5.23.","beta5.24.","beta5.25.","beta5.26.","beta5.27.","beta5.28.","beta5.29.","beta5.30.","beta5.31."
"1",1,1.16211033435122,0.011464104964823,1.00665553814641,-0.0013742905079945,0,-0.150547053963465,-0.137297290031346,-0.161209269988472,-0.0490437924010315,-0.19038532126618,-0.124825896935597,-0.154456156258039,-0.0836498131182501,-0.272193055667154,-0.10475449480543,-0.213558954042106,-0.108786098948806,-0.185786195773822,-0.0609154348100425,-0.213385165137423,-0.171013632307439,-0.0976261229845795,-0.0519604137825086,-0.0205689259739833,-0.0425776105846607,-0.161213559822713,-0.137457668260431,-0.147606351696739,-0.119720708240843,-0.129649699375918,-0.0589150142607265,-0.101809644629283,-0.12830868270791,-0.0432172955734087,-0.140143763128097,0,0.136668348137702,-0.0182033065840658,0.0936710738723819,0.168938322875066,0.0335196689583765,0.0418958935725213,0.0625948273816084,0.0719648568802088,0.315794300957078,0.100412723313992,-0.0594204921154103,-0.0132734650359252,0.0414419450276826,-0.0391608615157275,-0.0552981134567115,0.0394556472464753,0.0235017287906021,0.13617417494148,-0.0500254824035681,0.0451190485022241,-0.0192839791485856,-0.036157541116777,-0.119127891469655,-0.115552527869897,-0.0607997609222196,0.0202511224429168,0.00788944467278916,0.176495770479644,0.0983466374915229,0.0803941575054018
"2",2,1.15917193135631,0.0113137542186896,1.00548840077682,-0.000938824027847061,0,-0.175922259169675,-0.142989983194737,-0.132243451482594,-0.0736976904016425,-0.178070397138628,-0.134015906241576,-0.16316318200627,-0.0659202467712816,-0.288168017543307,-0.102577972708715,-0.196165862289825,-0.0982462169207142,-0.110642650557945,-0.0831592767498888,-0.173963371958258,-0.160700353987491,-0.116570188790368,-0.0357086241409408,-0.0284219868745827,-0.114638134934749,-0.150403867325652,-0.0981260131969158,-0.144457244125033,-0.137181785007439,-0.0992783591159156,-0.0448565864907285,-0.102911972389928,-0.112768464063176,-0.0276445003776046,-0.103518752326211,0,0.125815812228215,-0.0118935063467995,0.11829564434597,0.186156018487606,0.0139843877039947,0.0233748151770845,0.0518843979527521,0.0452701939147381,0.305135314713451,0.0947859140820372,-0.0799427511028793,-0.0121760785744088,0.045920086284263,-0.0391751929900436,-0.0844188204856259,0.0207939491620715,0.0517938530623933,0.141183232651592,-0.0899921812038628,0.0519150854735213,-0.00104011767584899,-0.0515448678814738,-0.085949242995054,-0.145153493742723,-0.0727285506859963,0.0217475779786374,-0.0353262173279092,0.193181722959712,0.0989372333588992,0.0822094262219951
"3",3,1.15656778958477,0.00805049257867493,1.01385200076486,0.00157108786991379,0,-0.146924509227347,-0.12559882942978,-0.140188401900541,-0.0561833802929567,-0.184790915782612,-0.0926104998108781,-0.172179028313353,-0.0756796646415749,-0.271451005894096,-0.0825261969415801,-0.197464263766336,-0.100804222694728,-0.113433504028971,-0.0691954149054039,-0.224070173044722,-0.129773000786877,-0.122824244845191,-0.0613350203774618,-0.0440547902505869,-0.088140400312173,-0.164054392805031,-0.12870500536321,-0.182026346104048,-0.118324254282211,-0.106095587226213,-0.0463306582809468,-0.0934038405654216,-0.113707847760932,-0.0541216683737729,-0.132016591370986,0,0.151739791761104,-0.023545936073618,0.104647583508079,0.163372674018651,0.00936209721646051,0.036027487244111,0.118077291616164,0.0733085935011195,0.281677816966104,0.136321126838341,-0.112286595359434,-0.0299431253602723,0.00933188308083639,-0.0433174974247954,-0.0481454029948539,0.0538585670784563,-0.00355869308868306,0.105407218835328,-0.0717400871865002,0.0215096214936181,-0.0112960033590283,-0.0891308050220766,-0.107618716659648,-0.12666004523618,-0.0846084060695103,0.0389352594454498,-0.0676292818213497,0.172433457029718,0.100199794497411,0.094294393233477
"4",4,1.16593952072525,0.0073094468344317,1.01297872004816,0.00114760283166325,0,-0.122966075889668,-0.155219122579324,-0.141391245245823,-0.0603815765401549,-0.0764680764501325,-0.0724636587721662,-0.133262548210054,-0.0464467205440911,-0.294352804184727,-0.143431875534952,-0.189089932382122,-0.078318280138194,-0.131363224472621,-0.0548496970400532,-0.189625917102494,-0.146616368252884,-0.123389813475342,-0.0550536932110608,-0.0865696582459686,-0.0788051708182096,-0.133102225387323,-0.153828377961903,-0.120808037450744,-0.119224315889147,-0.119172343842663,-0.0266384547927494,-0.13846935011412,-0.15280470548743,-0.0564992508436607,-0.154031170699677,0,0.126137557071703,-0.0245281084690738,0.124022257020346,0.187178554203666,0.0201965816633939,0.0209868856700688,0.115299333717171,0.0740676795341916,0.279753504697882,0.107697958962853,-0.0457261804866278,-0.0242299392477812,-0.000207431942071724,-0.00273951375639189,-0.0917738085571988,0.0574877810322007,0.0769909270004927,0.118882548344386,-0.0813808646019076,0.0453663107626221,-0.0613485531588952,-0.0274603309710468,-0.137321916399653,-0.134579963972291,-0.102092083780063,0.0396721389217666,-0.0504561802018638,0.189578959582808,0.117343507268587,0.0356768990707966
"5",5,1.16699121724659,0.00712877010073973,1.01142782144547,0.00037523329911262,0,-0.124654700799004,-0.0937377828028891,-0.13983610861837,-0.0459874092880135,-0.135685751274502,-0.093636729517321,-0.148488307615359,-0.0392951717952222,-0.274866790289114,-0.0715086875296245,-0.194060374052545,-0.0777566173755578,-0.155943064240436,-0.0609037895927436,-0.166851590327787,-0.175487322847775,-0.136482364430337,-0.0791599822094855,-0.0407884468034108,-0.0877377884682207,-0.171922639432749,-0.1489511375669,-0.171075383418447,-0.135336998402398,-0.138169858691333,-0.0502887599914379,-0.160906614865192,-0.123643910173873,-0.0859783754038623,-0.139026138070889,0,0.121877662700228,-0.0469427012290585,0.120740567366589,0.150191206947605,0.0478787590467946,0.011884689824126,0.100695391462856,0.0566598712191807,0.340289130891589,0.147899860679314,0.00100502761046364,0.00372132891694861,0.0386264979928963,-0.03787969364072,-0.000799508767509061,0.00658690315660129,0.0819059987847718,0.105947303332445,-0.0718725030458211,0.0718327512206633,-0.0362414813745253,-0.0228231780643601,-0.0949651063769481,-0.11734553976865,-0.111521113590691,0.0368038099747994,-0.0244731540833145,0.195839432866655,0.100911888336433,0.0433608215492995
"6",6,1.16771907682535,0.0116323171025402,1.00026442206428,0.00214151202908174,0,-0.138491025131879,-0.0915096333417259,-0.143733776616969,-0.0287337470448735,-0.147389744289185,-0.0937431030749699,-0.182142602148939,-0.0576463692387896,-0.295952316843414,-0.0758109312538575,-0.261058062944608,-0.10779457611969,-0.158427610459375,-0.0751250250460042,-0.186218627191129,-0.128916894420786,-0.149480305634895,-0.0946011445473675,-0.082036416668758,-0.0780368572424295,-0.171542421410728,-0.154924984274051,-0.157077577140842,-0.126391771436269,-0.115395552976975,-0.0808297714367113,-0.161010202747882,-0.165038451092856,-0.0763998145549,-0.149342101221177,0,0.12076743739752,-0.0549558429485218,0.110575918674206,0.159137402118548,0.0519742555660399,0.0900983406764048,0.102444683387343,0.0880114589754329,0.292624499007606,0.148111297917734,-0.000665307834558378,0.0207434764586492,0.0415210218133401,-0.0112823966105073,-0.0487414574309316,0.000355925913266084,0.0856799355193745,0.182203091704133,-0.0398634220142616,0.0488731277340639,0.0064159054137885,-0.0214021807948312,-0.127598938755085,-0.155032532947927,-0.0544629212233572,0.0404294467891706,-0.0329121216797697,0.212553730456694,0.126409079088066,0.105494887029212
"7",7,1.16117830605494,0.012070304506753,0.995426105504306,0.00277745071911734,0,-0.133654087426884,-0.168558239208343,-0.145220830873175,-0.0483901967069817,-0.108755668791795,-0.0809146339815358,-0.156820597057583,-0.058193843378431,-0.285755814496016,-0.0896604268957397,-0.292492861032595,-0.0570657610431967,-0.173820119960348,-0.0629141055914304,-0.209397334578767,-0.147540590418933,-0.171147913186091,-0.0333473105585754,-0.109314233309566,-0.0699213221909956,-0.143123114342854,-0.155736565852922,-0.179319548372949,-0.130853871142068,-0.116253974199358,-0.0246872256234042,-0.159598787550958,-0.149982079866555,-0.0737013219603924,-0.108085371275703,0,0.116893631923044,-0.0179788930553024,0.119935739755235,0.154361841085874,0.052413201287396,0.0401792014740881,0.0777041985190318,0.103956571132486,0.294949185013232,0.137840767150279,-0.0901201577783363,0.0173573858588341,0.0323535370619607,-0.0294117945451082,-0.00375480686008485,0.0350637340304634,0.0638464318731978,0.150935332326043,-0.0675394222289649,0.030527218774986,-0.0512074852468235,-0.0769999854849935,-0.070091301813788,-0.116233849602476,-0.0646447003215586,0.0494168577709888,-0.0638695232328261,0.183755627552476,0.127487643868851,0.0988353991415161
"8",8,1.16862418230389,0.00988456223305969,1.00012979061849,0.00172438220918946,0,-0.144811443923747,-0.141129656628496,-0.172482620335634,-0.0284498127847694,-0.154625649844735,-0.125747057450631,-0.154877204525275,-0.0970916481417554,-0.303659371193397,-0.0987258972769201,-0.220453732863949,-0.0573700289731186,-0.178126674671909,-0.0726069245729667,-0.173982526041104,-0.213513667774469,-0.133863609255881,-0.0679262643157192,-0.111540527457475,-0.074343818828547,-0.153090052972319,-0.14613720191218,-0.135904143359776,-0.163804130774508,-0.136690519974627,-0.0489537457171953,-0.0629558762660304,-0.15075893161897,-0.0680627007981208,-0.109224254803801,0,0.120659135025128,-0.0233258045416414,0.0840905772387365,0.173839558902784,0.0411888969642885,0.0208231508769325,0.0748043207570913,0.0494935685519105,0.322545601129813,0.167443149850202,-0.0746000890531764,-0.0337102774915508,0.00720256847927455,-0.0274297233076141,-0.0249279821118135,0.0468826172369655,0.0427596544560611,0.150664417618482,-0.0749142794763125,0.0185811562930944,0.0275614598657245,-0.0733696266611446,-0.100300424696108,-0.128237394343497,-0.0403836065771072,0.0476865950774265,-0.0536165329048554,0.174444316027474,0.12475395399383,0.102029584940047
"9",9,1.16866264759768,0.00774610252135619,1.00578621087252,0.000671990831823613,0,-0.163942164277905,-0.150705750029655,-0.153801459262982,-0.0097490462829336,-0.126254606531152,-0.129290066971497,-0.176066213003909,-0.0715219312751474,-0.292323908299414,-0.0934782981108464,-0.143839386640203,-0.108023732067345,-0.136790195663712,-0.0819348738254495,-0.199774034108141,-0.16280442026841,-0.119145182326653,-0.0959387641357841,-0.0879702940259275,-0.0925387718544154,-0.149574240705408,-0.151512171700993,-0.122848177469223,-0.162078382435723,-0.0994267382229221,-0.0549272427992566,-0.071458637704611,-0.129447634181294,-0.0440758345361292,-0.11337322440741,0,0.122719892510571,0.00732548575848374,0.0679610475917146,0.225626994709935,0.0195672465828641,0.07608951409788,0.0655276901068491,0.0477700885382401,0.304011678805945,0.142969443502372,-0.0989334520984819,-0.0197222333644568,0.0140721625354457,-0.00180601943788722,-0.0312419488069559,0.0336840270786969,0.0610884140838743,0.141584108749704,-0.086871491569755,0.0381119167416773,0.0327302012201669,-0.0757748973474511,-0.136708321719272,-0.132832666988586,-0.0844963618733639,0.0583094939905381,-0.037651721111919,0.200357014062217,0.0942697635715667,0.100859782114893
"10",10,1.1682569554987,0.0116970035085635,1.0047858824281,0.000879880196013121,0,-0.105952459087676,-0.137177760464206,-0.14276443267037,-0.0648853818722155,-0.106639313439506,-0.137021017894298,-0.161016038387067,-0.0824966743966161,-0.312586934641847,-0.109139758490964,-0.163548227487463,-0.133490599142402,-0.141157639829373,-0.0860619389272353,-0.224322896505002,-0.155281847646582,-0.157459038926759,-0.0630996606306618,-0.0606456715822542,-0.0816780093188305,-0.147004674895302,-0.14976224733865,-0.123139384161117,-0.152073165163099,-0.150990037180382,-0.0462663893662714,-0.0777887605507981,-0.184501949994504,-0.0562997918431836,-0.113598047622614,0,0.139346248296816,0.0114459074157184,0.0819724405349477,0.227197807241965,0.040108246887886,0.0842316982463202,0.0750126383336724,0.046561289296204,0.304506991163389,0.130975102576893,-0.0451561032838438,-0.0206496483549227,0.0537776318114841,-0.000553341459716942,-0.0270931531094666,0.0320852498673812,0.0487191064972289,0.150264211031334,-0.0918614131386165,0.0471375639855544,-0.0575768268227012,-0.0536565130407592,-0.102532611338774,-0.133353256925781,-0.073554486484983,0.0550046507868164,-0.0434374256207012,0.231164135211386,0.0869275125161769,0.0957559268001305
